tract,no_internet,no_computer,no_internet_computer_universe,no_internet_pct,no_computer_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037199700,250,164,1204,20.8,13.6,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2347,10410497.4609375,13808.4632410147
06037199801,179,122,903,19.8,13.5,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2348,3724106.85449219,9459.39182732314
06037199802,66,49,612,10.8,8,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2349,3296128.60546875,8868.7442248366
06037199900,231,97,845,27.3,11.5,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2350,4782360.92285156,10141.7280220524
06037201110,105,41,782,13.4,5.2,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2351,10992458.0566406,15893.3836362005
06037201120,79,85,1233,6.4,6.9,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2352,8477293.32617188,13504.9177704466
06037201200,97,36,776,12.5,4.6,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2353,4612278.71386719,10208.9505208962
06037201301,173,135,1117,15.5,12.1,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2354,9414202.77832031,18595.3885423255
06037201302,127,74,1899,6.7,3.9,District 1,Los Angeles - Highland Park,SPA 4 - Metro,2355,10671943.7089844,14894.7665533714
06037201401,217,132,1273,17,10.4,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2356,14162701.1113281,15449.7624668054
06037201402,285,205,1519,18.8,13.5,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2357,20831565.21875,18870.5827674604
06037201501,135,96,1536,8.8,6.3,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2358,9520485.640625,14185.0892357448
06037201503,183,79,1025,17.9,7.7,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2359,4712856.25292969,9121.1442804331
06037201504,61,33,640,9.5,5.2,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2360,3937450.05175781,9476.65646399195
06037201601,108,78,759,14.2,10.3,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2361,5989464.77929688,10928.0419707895
06037201602,153,104,796,19.2,13.1,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2362,11481095.9111328,18567.4044831871
06037201700,105,37,1469,7.1,2.5,District 1,Los Angeles - University Hills,SPA 4 - Metro,2363,18289606.4267578,20636.5668319081
